COD_APO;COD_ENDOSSO;DATA_COMP;COD_END;ITEM;TIPO_PES;MODALIDADE;TIPO_PROD;COBERTURA;COD_MODELO;ANO_MODELO;COD_TARIF;REGIAO;COD_CONT;TIPO_FRANQ;VAL_FRANQ;PERC_FATOR;TAB_REF;IS_CASCO;IS_RCDMAT;IS_RCDC;IS_RCDMOR;IS_APP_MA;IS_APP_IPA;IS_APP_DMH;PRE_CASCO;PRE_CAS_CO;PRE_RCDMAT;PRE_RCDC;PRE_RCDMOR;PRE_APP_MA;PRE_APP_IA;PRE_APP_DM;PRE_OUTROS;INICIO_VIG;FIM_VIG;PERC_BONUS;CLAS_BONUS;PERC_CORR;SEXO;DATA_NASC;TEMPO_HAB;UTILIZACAO;CEP_UTIL;CEP_PER;DATA_EMIS;SINAL
185000948;645835385;2019B;0;0;J;1;1;1;015065-7;2014;40;11;1;2;65700;1000;2;539000;500000;500000;0;100000;0;0;37800;0;6040;230;0;460;0;0;3260;20180124;20190124;15;2;1875;0;19801229;0;0;3873100;3873100;20180117;
111782472;645835398;2019B;0;0;F;1;1;1;005310-4;2012;10;11;1;2;30920;1000;2;272730;500000;1000000;0;10000;0;0;17930;0;6040;300;0;50;0;0;0;20180119;20190119;30;9;250;M;19750222;0;2;4111000;4111000;20180117;
96331617;645835404;2019B;0;0;F;1;1;1;015088-6;2015;10;11;1;2;33210;1000;2;362520;500000;500000;0;0;0;0;23650;0;3850;180;0;0;0;0;0;20180201;20190201;10;1;588;M;19921112;0;2;6860000;6860000;20180117;
261007883;645835425;2019B;0;0;F;1;1;1;025215-8;2016;10;12;1;2;30960;1000;2;313840;500000;500000;0;100000;0;0;14180;0;5520;350;0;410;0;0;0;20180119;20190119;15;2;2353;M;19900908;0;2;13044000;13044000;20180117;
95908470;645835430;2019B;1;0;F;1;1;1;009172-3;2018;22;11;1;1;56240;1000;2;1961450;2000000;2000000;0;0;0;0;0;0;0;0;0;0;0;0;0;20181207;20190115;30;9;0;M;19570312;0;0;4142000;4142000;20181207;
158482394;645835431;2019B;0;0;F;1;1;1;004425-3;2014;10;11;1;1;12980;1000;2;354130;1000000;1000000;0;400000;0;0;13870;0;4630;480;0;1070;0;0;0;20180124;20190124;20;3;2353;M;19571121;0;2;2132000;2132000;20180117;
131922546;645835433;2019B;0;0;F;1;1;1;015144-0;2018;22;11;1;1;31350;1000;2;1028030;1000000;1000000;0;0;0;0;21210;0;4000;580;0;0;0;0;0;20180119;20190119;30;8;2268;F;19791103;0;2;7023000;7023000;20180117;
223744722;645835435;2019B;1;0;F;1;1;1;004321-4;2013;10;11;1;2;20670;1000;2;233120;500000;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;20180315;20190131;30;5;0;M;19490511;0;2;6182000;6182000;20180315;
223026091;645835445;2019B;0;0;F;1;1;1;004272-2;2008;10;11;1;2;24460;1000;2;152770;1000000;2000000;0;0;0;0;14470;0;5760;430;0;0;0;0;0;20180115;20190115;10;1;1;F;19840511;0;2;4474000;4474000;20180117;
86919099;645835449;2019B;0;0;F;1;1;1;004341-9;2008;10;11;1;2;27130;1000;2;185020;500000;500000;0;0;0;0;9560;0;2430;260;0;0;0;0;0;20180122;20190122;30;6;3158;M;19750304;0;2;4417000;4417000;20180118;
149338645;645835478;2019B;0;0;F;1;1;1;003351-0;2012;10;11;1;2;29400;1000;2;307720;500000;500000;0;110000;0;0;14110;0;3270;260;0;340;0;0;0;20180116;20190116;30;6;1667;F;19560528;0;2;6429000;6429000;20180118;
